week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,gender
2024-05-19,Films (Non-English),5,Laapataa Ladies,,5300000,2.0667,2600000.0,4,False,,"Comedy, Drama"
2024-05-19,Films (Non-English),6,Honeymoonish,,3300000,1.6667,2000000.0,3,False,,Romance
2024-05-19,Films (Non-English),7,The Guardian of the Monarchs,,3000000,1.5333,2000000.0,1,False,,Documentary
2024-05-19,Films (Non-English),8,Adagio,,3600000,2.1167,1700000.0,1,False,,"Action, Crime, Thriller"
2024-05-19,Films (Non-English),9,"Tad, The Lost Explorer and the Emerald Tablet",,2200000,1.5,1500000.0,1,False,,"Animation, Adventure, Comedy"
2024-05-19,Films (Non-English),10,The Tearsmith,,2300000,1.75,1300000.0,7,False,,"Drama, Fantasy, Romance"
2024-05-19,TV (English),1,Bridgerton,Bridgerton: Season 3,165200000,3.6667,45100000.0,1,False,,"Drama, Romance"
2024-05-19,TV (English),2,"Ashley Madison: Sex, Lies & Scandal","Ashley Madison: Sex, Lies & Scandal: Season 1",24600000,2.6,9500000.0,1,False,,"Documentary, Crime, History"
2024-05-19,TV (English),3,Baby Reindeer,Baby Reindeer: Limited Series,29500000,3.9667,7400000.0,6,False,,"Biography, Drama"
2024-05-19,TV (English),4,Bridgerton,Bridgerton: Season 1,37300000,8.2,4500000.0,10,False,,"Drama, Romance"
2024-05-19,TV (English),5,Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,,5400000,1.3167,4100000.0,1,False,,Comedy
2024-05-19,TV (English),6,Bodkin,Bodkin: Season 1,23300000,5.8,4000000.0,2,False,,"Comedy, Drama, Thriller"
2024-05-19,TV (English),7,The Roast of Tom Brady,,10500000,3.0667,3400000.0,3,False,,Comedy
2024-05-19,TV (English),8,Bridgerton,Bridgerton: Season 2,27700000,8.5,3300000.0,16,False,,"Drama, Romance"
2024-05-19,TV (English),9,A Man in Full,A Man in Full: Limited Series,10900000,4.4667,2400000.0,3,False,,Drama
2024-05-19,TV (English),10,Blood of Zeus,Blood of Zeus: Season 2,7400000,4.0167,1800000.0,1,False,,"Animation, Action, Adventure"
2024-05-19,TV (Non-English),1,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Hashira Training Arc,4400000,0.8167,5400000.0,1,False,,"Animation, Action, Adventure"
2024-05-19,TV (Non-English),2,"Thank You, Next","Thank You, Next: Season 1",29900000,5.8667,5100000.0,2,False,,"Short, Comedy"
2024-05-19,TV (Non-English),3,Cooking Up Murder: Uncovering the Story of César Román,Cooking Up Murder: Uncovering the Story of César Román: Limited Series,7100000,2.4667,2900000.0,2,False,,Documentary
2024-05-19,TV (Non-English),4,The Asunta Case,The Asunta Case: Limited Series,15300000,5.4167,2800000.0,4,False,,"Biography, Crime, Drama"
2024-05-19,TV (Non-English),5,Heeramandi: The Diamond Bazaar,Heeramandi: The Diamond Bazaar: Season 1,17300000,7.3167,2400000.0,3,False,,"Drama, History, Romance"
2024-05-19,TV (Non-English),6,Queen of Tears,Queen of Tears: Limited Series,43100000,23.3667,1800000.0,11,False,,"Drama, Family, Romance"
2024-05-19,TV (Non-English),7,The 8 Show,The 8 Show: Limited Series,11900000,6.9833,1700000.0,1,False,,"Comedy, Drama, Mystery"
2024-05-19,TV (Non-English),8,The Atypical Family,The Atypical Family: Limited Series,9800000,0.0,1500000.0,2,True,"[{""episodesLaunched"":5,""countryList"":[""SG"",""NC"",""NP"",""FJ"",""JP"",""PH"",""TK"",""NF"",""CX"",""KR"",""PN"",""AU"",""IN"",""TO"",""MN"",""PG"",""WS"",""HK"",""KH"",""NZ"",""NU"",""KI"",""CK"",""UM"",""VU"",""ID"",""VN"",""BN"",""LA"",""TW"",""PF"",""TL"",""LK"",""TH"",""BT"",""SB"",""WF"",""MY"",""MM"",""NR"",""MV"",""CC"",""BD"",""TV"",""MO""]},{""episodesLaunched"":6,""countryList"":[""GM"",""VI"",""BQ"",""CF"",""BH"",""AZ"",""AQ"",""GD"",""CM"",""JO"",""UG"",""IM"",""KW"",""BG"",""SM"",""ES"",""SI"",""BW"",""ER"",""ET"",""KN"",""KE"",""CV"",""RE"",""PK"",""PL"",""ST"",""VG"",""MW"",""IT"",""GF"",""CH"",""SC"",""ME"",""LY"",""DJ"",""FO"",""TR"",""SD"",""SX"",""TN"",""LT"",""BY"",""OM"",""MR"",""SL"",""AL"",""GG"",""IS"",""ML"",""AT"",""PT"",""UZ"",""AE"",""PM"",""HR"",""BA"",""NE"",""SA"",""GL"",""LR"",""GB"",""BB"",""RU"",""MG"",""KM"",""MQ"",""TC"",""ZM"",""FM"",""MK"",""DE"",""GY"",""PW"",""AI"",""MP"",""CD"",""CI"",""SR"",""NA"",""GP"",""AW"",""TD"",""BE"",""BF"",""IR"",""EE"",""GE"",""MS"",""NG"",""VA"",""YE"",""LS"",""LI"",""SO"",""HT"",""PS"",""NL"",""IO"",""AF"",""AM"",""MF"",""AO"",""EG"",""RS"",""BS"",""SH"",""DM"",""MH"",""IL"",""HU"",""GI"",""HM"",""DK"",""TJ"",""EH"",""FK"",""SS"",""TM"",""VC"",""KG"",""GU"",""GN"",""SK"",""FR"",""CG"",""SE"",""CW"",""MZ"",""UA"",""SZ"",""YT"",""TG"",""JM"",""MU"",""CZ"",""BL"",""US"",""BJ"",""KY"",""AG"",""BM"",""FI"",""MD"",""ZA"",""LC"",""JE"",""GH"",""MC"",""CY"",""MT"",""TT"",""RW"",""DZ"",""ZW"",""AD"",""AS"",""BI"",""NO"",""GR"",""KZ"",""IE"",""GS"",""SN"",""MA"",""TZ"",""LV"",""RO"",""IQ"",""CA"",""QA"",""GA"",""LU"",""GW"",""LB""]}]","Action, Drama, Fantasy"
2024-05-19,TV (Non-English),9,Kaiju No. 8,Kaiju No. 8: Season 1,1900000,2.3667,800000.0,1,False,,"Animation, Action, Adventure"
2024-05-19,TV (Non-English),10,Dr. Stone,Dr. Stone: Season 2,3200000,4.4,700000.0,1,False,,"Animation, Action, Adventure"
2024-05-12,Films (English),1,Mother of the Bride,,40000000,1.5,26700000.0,1,False,,"Comedy, Drama, Romance"
2024-05-12,Films (English),2,Unfrosted,,14100000,1.6,8800000.0,2,False,,"Biography, Comedy, History"
2024-05-12,Films (English),3,Shrek,,12800000,1.5,8500000.0,9,False,,"Animation, Adventure, Comedy"
2024-05-12,Films (English),4,Barbarian,,8000000,1.7333,4600000.0,2,False,,"Horror, Mystery, Thriller"
2024-05-12,Films (English),5,Secrets of the Neanderthals,,5700000,1.3333,4300000.0,2,False,,Documentary
2024-05-12,Films (English),6,The Judge,,8700000,2.35,3700000.0,2,False,,"Crime, Drama, Mystery"
2024-05-12,Films (English),7,The Frozen Ground,,6000000,1.75,3400000.0,1,False,,"Biography, Crime, Drama"
2024-05-12,Films (English),8,Woody Woodpecker Goes to Camp,,5400000,1.6667,3200000.0,5,False,,"Animation, Adventure, Comedy"
2024-05-12,Films (English),9,The Great Wall,,5500000,1.7167,3200000.0,3,False,,"Action, Adventure, Fantasy"
2024-05-12,Films (English),10,Shrek Forever After,,5000000,1.5833,3200000.0,3,False,,"Animation, Adventure, Comedy"
2024-05-12,Films (Non-English),1,The Courier,,12700000,1.7,7500000.0,1,False,,"Drama, History, Mystery"
2024-05-12,Films (Non-English),2,Shaitaan,,14000000,2.1333,6600000.0,2,False,,"Horror, Thriller"
2024-05-12,Films (Non-English),3,Honeymoonish,,10100000,1.6667,6100000.0,2,False,,Romance
2024-05-12,Films (Non-English),4,Laapataa Ladies,,7000000,2.0667,3400000.0,3,False,,"Comedy, Drama"
2024-05-12,Films (Non-English),5,City Hunter,,3000000,1.7333,1700000.0,3,False,,"Action, Comedy, Crime"
2024-05-12,Films (Non-English),6,The Stronghold,,2800000,1.75,1600000.0,4,False,,"Action, Crime, Thriller"
2024-05-12,Films (Non-English),7,Down the Rabbit Hole,,2700000,1.7167,1600000.0,2,False,,Documentary
2024-05-12,Films (Non-English),8,Meninas Não Choram,,2600000,1.7667,1500000.0,1,False,,Drama
2024-05-12,Films (Non-English),9,Beautiful Rebel,,2500000,1.9,1300000.0,1,False,,"Biography, Drama, Music"
2024-05-12,Films (Non-English),10,The Tearsmith,,2200000,1.75,1300000.0,6,False,,"Drama, Fantasy, Romance"
2024-05-12,TV (English),1,The Roast of Tom Brady,,42200000,3.0667,13800000.0,2,False,,Comedy
2024-05-12,TV (English),2,Baby Reindeer,Baby Reindeer: Limited Series,45400000,3.9667,11400000.0,5,False,,"Biography, Drama"
2024-05-12,TV (English),3,A Man in Full,A Man in Full: Limited Series,29800000,4.4667,6700000.0,2,False,,Drama
2024-05-12,TV (English),4,Katt Williams: Woke Foke,,4400000,1.0333,4300000.0,2,False,,Comedy
2024-05-12,TV (English),5,Bodkin,Bodkin: Season 1,18900000,5.8,3300000.0,1,False,,"Comedy, Drama, Thriller"
2024-05-12,TV (English),6,Selling The OC,Selling The OC: Season 3,12600000,4.6333,2700000.0,2,False,,Reality-TV
2024-05-12,TV (English),7,Dead Boy Detectives,Dead Boy Detectives: Season 1,13300000,7.2667,1800000.0,3,False,,"Action, Adventure, Comedy"
2024-05-12,TV (English),8,Bridgerton,Bridgerton: Season 1,13600000,8.2,1700000.0,9,False,,"Drama, Romance"
2024-05-12,TV (English),9,Bridgerton,Bridgerton: Season 2,12000000,8.5,1400000.0,15,False,,"Drama, Romance"
2024-05-12,TV (English),10,The Gentlemen,The Gentlemen: Season 1,9100000,6.6833,1400000.0,10,False,,"Action, Crime"
2024-05-12,TV (Non-English),1,The Asunta Case,The Asunta Case: Limited Series,28600000,5.4167,5300000.0,3,False,,"Biography, Crime, Drama"
2024-05-12,TV (Non-English),2,Heeramandi: The Diamond Bazaar,Heeramandi: The Diamond Bazaar: Season 1,29300000,7.3167,4000000.0,2,False,,"Drama, History, Romance"
2024-05-12,TV (Non-English),3,"Thank You, Next","Thank You, Next: Season 1",21300000,5.8667,3600000.0,1,False,,"Short, Comedy"
2024-05-12,TV (Non-English),4,Queen of Tears,Queen of Tears: Limited Series,58700000,23.3667,2500000.0,10,False,,"Drama, Family, Romance"
2024-05-12,TV (Non-English),5,Cooking Up Murder: Uncovering the Story of César Román,Cooking Up Murder: Uncovering the Story of César Román: Limited Series,5500000,2.4667,2200000.0,1,False,,Documentary
