semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-05-19,TV (Non-English),10,Dr. Stone,3200000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-12,Films (English),1,Mother of the Bride,40000000,1,False,"Comedy, Drama, Romance",2024,maio
2024-05-12,Films (English),2,Unfrosted,14100000,2,False,"Biography, Comedy, History",2024,maio
2024-05-12,Films (English),3,Shrek,12800000,9,False,"Animation, Adventure, Comedy",2024,maio
2024-05-12,Films (English),4,Barbarian,8000000,2,False,"Horror, Mystery, Thriller",2024,maio
2024-05-12,Films (English),5,Secrets of the Neanderthals,5700000,2,False,Documentary,2024,maio
2024-05-12,Films (English),6,The Judge,8700000,2,False,"Crime, Drama, Mystery",2024,maio
2024-05-12,Films (English),7,The Frozen Ground,6000000,1,False,"Biography, Crime, Drama",2024,maio
2024-05-12,Films (English),8,Woody Woodpecker Goes to Camp,5400000,5,False,"Animation, Adventure, Comedy",2024,maio
2024-05-12,Films (English),9,The Great Wall,5500000,3,False,"Action, Adventure, Fantasy",2024,maio
2024-05-12,Films (English),10,Shrek Forever After,5000000,3,False,"Animation, Adventure, Comedy",2024,maio
2024-05-12,Films (Non-English),1,The Courier,12700000,1,False,"Drama, History, Mystery",2024,maio
2024-05-12,Films (Non-English),2,Shaitaan,14000000,2,False,"Horror, Thriller",2024,maio
2024-05-12,Films (Non-English),3,Honeymoonish,10100000,2,False,Romance,2024,maio
2024-05-12,Films (Non-English),4,Laapataa Ladies,7000000,3,False,"Comedy, Drama",2024,maio
2024-05-12,Films (Non-English),5,City Hunter,3000000,3,False,"Action, Comedy, Crime",2024,maio
2024-05-12,Films (Non-English),6,The Stronghold,2800000,4,False,"Action, Crime, Thriller",2024,maio
2024-05-12,Films (Non-English),7,Down the Rabbit Hole,2700000,2,False,Documentary,2024,maio
2024-05-12,Films (Non-English),8,Meninas Não Choram,2600000,1,False,Drama,2024,maio
2024-05-12,Films (Non-English),9,Beautiful Rebel,2500000,1,False,"Biography, Drama, Music",2024,maio
2024-05-12,Films (Non-English),10,The Tearsmith,2200000,6,False,"Drama, Fantasy, Romance",2024,maio
2024-05-12,TV (English),1,The Roast of Tom Brady,42200000,2,False,Comedy,2024,maio
2024-05-12,TV (English),2,Baby Reindeer,45400000,5,False,"Biography, Drama",2024,maio
2024-05-12,TV (English),3,A Man in Full,29800000,2,False,Drama,2024,maio
2024-05-12,TV (English),4,Katt Williams: Woke Foke,4400000,2,False,Comedy,2024,maio
2024-05-12,TV (English),5,Bodkin,18900000,1,False,"Comedy, Drama, Thriller",2024,maio
2024-05-12,TV (English),6,Selling The OC,12600000,2,False,Reality-TV,2024,maio
2024-05-12,TV (English),7,Dead Boy Detectives,13300000,3,False,"Action, Adventure, Comedy",2024,maio
2024-05-12,TV (English),8,Bridgerton,13600000,9,False,"Drama, Romance",2024,maio
2024-05-12,TV (English),9,Bridgerton,12000000,15,False,"Drama, Romance",2024,maio
2024-05-12,TV (English),10,The Gentlemen,9100000,10,False,"Action, Crime",2024,maio
